 Temperature (Hatree) = 0
 Electronic Temperature (eV) = 0
 xloss =    3.5853999999999999       eV
 efermi =   -7.2675180499999987       eV
 Number of poles = 0
 Omega(Hart)    Re CCHI     Im CCHI   1-Fermi   Re xmu0    Im xmu0
  -0.3038255755E+000  -0.2758178063E-003   0.4792373659E-003   0.4134207780E+000  -0.6671600000E-003   0.1159200000E-002
  -0.2964757137E+000  -0.2869595798E-003   0.4985963561E-003   0.4301210802E+000  -0.6671600000E-003   0.1159200000E-002
  -0.2891258519E+000  -0.2983682126E-003   0.5184190180E-003   0.4472213751E+000  -0.6671600000E-003   0.1159200000E-002
  -0.2817759901E+000  -0.3099855236E-003   0.5386042613E-003   0.4646344559E+000  -0.6671600000E-003   0.1159200000E-002
  -0.2744261283E+000  -0.3217462425E-003   0.5590386779E-003   0.4822624896E+000  -0.6671600000E-003   0.1159200000E-002
  -0.2670762665E+000  -0.3335800000E-003   0.5796000000E-003   0.5000000000E+000  -0.6671600000E-003   0.1159200000E-002
  -0.2597264047E+000  -0.3491932413E-003   0.5810050342E-003   0.5177375104E+000  -0.6744600000E-003   0.1122200000E-002
  -0.2523765429E+000  -0.3638879603E-003   0.5817817368E-003   0.5353655441E+000  -0.6797000000E-003   0.1086700000E-002
  -0.2450266811E+000  -0.3776086065E-003   0.5819100585E-003   0.5527786249E+000  -0.6831100000E-003   0.1052700000E-002
  -0.2376768193E+000  -0.3903328673E-003   0.5815044498E-003   0.5698789198E+000  -0.6849400000E-003   0.1020400000E-002
  -0.2303269575E+000  -0.4020355330E-003   0.5804260060E-003   0.5865792220E+000  -0.6853900000E-003   0.9895100000E-003
  -0.2229770957E+000  -0.4127044685E-003   0.5787893236E-003   0.6028050779E+000  -0.6846400000E-003   0.9601600000E-003
  -0.2156272339E+000  -0.4223461658E-003   0.5766052485E-003   0.6184959813E+000  -0.6828600000E-003   0.9322700000E-003
  -0.2082773721E+000  -0.4309785781E-003   0.5739073456E-003   0.6336056720E+000  -0.6802000000E-003   0.9057800000E-003
  -0.2009275103E+000  -0.4386287274E-003   0.5707507334E-003   0.6481016673E+000  -0.6767900000E-003   0.8806500000E-003
  -0.1935776485E+000  -0.4453231789E-003   0.5671775495E-003   0.6619642039E+000  -0.6727300000E-003   0.8568100000E-003
  -0.1862277867E+000  -0.4511247152E-003   0.5632459009E-003   0.6751847867E+000  -0.6681500000E-003   0.8342100000E-003
  -0.1788779249E+000  -0.4560635371E-003   0.5590012543E-003   0.6877645295E+000  -0.6631100000E-003   0.8127800000E-003
  -0.1715280631E+000  -0.4602008712E-003   0.5545011166E-003   0.6997124391E+000  -0.6577000000E-003   0.7924700000E-003
  -0.1641782013E+000  -0.4635934219E-003   0.5497932571E-003   0.7110437612E+000  -0.6519900000E-003   0.7732200000E-003
  -0.1568283395E+000  -0.4662905413E-003   0.5449210872E-003   0.7217784643E+000  -0.6460300000E-003   0.7549700000E-003
  -0.1494784777E+000  -0.4683537068E-003   0.5399227908E-003   0.7319399057E+000  -0.6398800000E-003   0.7376600000E-003
  -0.1421286159E+000  -0.4698335917E-003   0.5348381888E-003   0.7415536975E+000  -0.6335800000E-003   0.7212400000E-003
  -0.1347787541E+000  -0.4707831362E-003   0.5297089078E-003   0.7506467723E+000  -0.6271700000E-003   0.7056700000E-003
  -0.1274288923E+000  -0.4712567929E-003   0.5245559065E-003   0.7592466334E+000  -0.6206900000E-003   0.6908900000E-003
